compound,total_score,max_rev,n_clusters,n_fib_clusters,best_p,moa
LJP006 HA1E 24H-AZD-5438-10,66.23295683895788,23.15011282199297,5,2,7.0776189652949e-24,Unknown/other
LJP006 HME1 24H-AS-605240-3.33,54.476478474422144,33.23121629652003,3,1,5.871968315111218e-34,Unknown/other
LJP006 HME1 24H-PD-0325901-1.11,53.15786372223691,28.08986178200832,3,1,8.13089247706718e-29,Unknown/other
LJP006 HME1 24H-gefitinib-0.37,46.53312051521454,23.74271071253192,4,1,1.808378301993481e-24,Unknown/other
LJP006 MCF10A 24H-AS-605240-1.11,43.70754737623149,23.88276171806457,2,1,1.3099004216454635e-24,Unknown/other
LJP006 HA1E 24H-AZD-7762-1.11,41.169902361759895,27.27576650203242,2,1,5.2994829344817265e-28,CHK1/2 inhibitor
LJP006 HA1E 24H-CGP-60474-0.04,37.11135115996007,26.25010230848123,3,2,5.62208867806504e-27,CDK inhibitor
LJP006 HA1E 24H-mitoxantrone-3.33,36.57262499678991,32.10374459247704,5,1,7.875087855297112e-33,Topoisomerase II inhibitor
LJP006 HA1E 24H-CGP-60474-0.37,29.983957799153867,26.59353989958836,5,1,2.5495298461300963e-27,CDK inhibitor
LJP006 MCF10A 24H-radicicol-0.12,29.442093826706405,20.87690029315633,1,1,1.327699240569699e-21,HSP90 inhibitor
LJP006 A375 24H-JNK-9L-10,29.226276027872835,15.105318017733769,2,1,7.8466084616633e-16,JNK inhibitor
LJP006 MCF10A 24H-WZ-4-145-3.33,28.288904126906743,27.994959784656626,4,0,1.0116731300959303e-28,Unknown/other
LJP006 HA1E 24H-radicicol-1.11,27.91338050833059,23.50904207636526,1,1,3.0971192221074844e-24,HSP90 inhibitor
LJP005 MCF10A 24H-PD-184352-10,26.381085503543783,22.29441224062844,1,1,5.076773167564584e-23,Unknown/other
LJP009 HEPG2 24H-sirolimus-10,26.108791039883133,18.46355831455193,1,1,3.4390753036555272e-19,Unknown/other
